,City
1619,Deer Park
1620,Dickson
1621,Cheektowaga
1622,Chesterton
1623,Choctaw
1624,Colesville
1625,Columbia
1626,Westport
1627,Wichita
1628,Wylie
1629,Yorkton
1630,Yucaipa
1631,Zaachila
1632,Zapotlanejo
1633,Tempoal
1634,Tequixquitla
1635,Warrensburg
1636,Warrensville Heights
1637,Watertown
1638,Webster Groves
1639,Tulsa
1640,Valtierrilla
1641,Oluta
1642,Ometepec
1643,Oxkutzcab
1644,Palos Hills
1645,Redan
1646,Rockland
1647,Romeoville
1648,Guaymas
1649,Hamptons At Boca Raton
1650,Harper Woods
1651,Inver Grove Heights
1652,Jamestown
1653,Jersey City
1654,Poway
1655,Prescott
1656,Royal Palm Beach
1657,Raymore
1658,Red Bank
1659,Rexburg
1660,Rincon De Tamayo
1661,Rome
1662,Cameron Park
1663,Camrose
1664,Casper
1665,Cedar Hill
1666,Mastic Beach
1667,Medfield
1668,Mesa
1669,Loveland
1670,Manuel Doblado
1671,Uriangato
1672,Uxbridge
1673,Valley Station
1674,Van Wert
1675,Waltham
1676,Waterloo
1677,Wayland
1678,Danville
1679,Dekalb
1680,Detroit
1681,Coatlinchan
1682,Crystal
1683,Donna
1684,Bridgeton
1685,Orlando
1686,Oteapan
1687,Pella
1688,Penjamo
1689,Perris
1690,Port Orange
1691,Wheat Ridge
1692,Aberdeen
1693,Asuncion Nochixtlan
1694,Ahome
1695,Amherst Center
1696,Arlington Heights
1697,Asbury Park
1698,East Northport
1699,Egypt Lake Leto
1700,El Fuerte
1701,Ellington
1702,Elmira
1703,Encarnacion
1704,Everett
1705,Fernandez
1706,Festus
1707,Fillmore
1708,Fontana
1709,Kelowna
1710,Kelso
1711,Key Largo
1712,Kingsburg
1713,Ladson
1714,Lombardia
1715,Lynwood
1716,Mapastepec
1717,Lansdale
1718,Mission
1719,Newport Beach
1720,Niceville
1721,North Bethesda
1722,North Marysville
1723,North Palm Beach
1724,Chantilly
1725,Cheran
1726,Cheyenne
1727,Easton
1728,Elizabethtown
1729,Holden
1730,Houston
1731,Ensenada
1732,Fajardo
1733,Fern Creek
1734,Fort Lee
1735,Miahuatlan
1736,Mobile
1737,Montreal
1738,Moore
1739,Nogales
1740,North Lindenhurst
1741,North Port
1742,Oconomowoc
1743,Octopan
1744,Mount Pleasant
1745,Nanacamilpa
1746,Mexico
1747,Torrington
1748,Seguin
1749,Teocaltiche
1750,Tetla
1751,Southfield
1752,Spring Hill
1753,Stockbridge
1754,Sudbury
1755,Tarimoro
1756,Sharon
1757,Shasta Lake
1758,Randolph
1759,Red Wing
1760,Reforma
1761,Reynosa
1762,Rock Springs
1763,Rosemont
1764,Salisbury
1765,San Agustin
1766,San Sebastian El Grande
1767,Beverly Hills
1768,Bexley
1769,Broken Arrow
1770,Cancun
1771,Central Point
1772,Cerro Azul
1773,Champlin
1774,South Miami
1775,Sterling
1776,Streamwood
1777,Sugar Hill
1778,Gonzalez
1779,Grapevine
1780,Great Falls
1781,Harrisonburg
1782,Ives Estates
1783,Jacinto City
1784,Kalispell
1785,Kewanee
1786,Maumelle
1787,Midwest City
1788,Mount Juliet
1789,Muncie
1790,Muskogee
1791,Piedmont
1792,Pleasanton
1793,Port Chester
1794,Porterville
1795,Pottstown
1796,Norco
1797,North Aurora
1798,Oakville
1799,Ogden
1800,Olympia
1801,Paducah
1802,Pekin
1803,Bellingham
1804,Cabo Rojo
1805,Carmel
1806,Cathedral City
1807,Chillum
1808,Chino Hills
1809,Arroyo Grande
1810,Ashtabula
1811,Atascadero
1812,Del Rio
1813,Denver
1814,Dixon
1815,Douglasville
1816,East Los Angeles
1817,Edina
1818,Eldersburg
1819,Estelle
1820,Eustis
1821,Fort Erie
1822,Fort Smith
1823,Franconia
1824,Garland
1825,Dubuque
1826,Duxbury
1827,East Lansing
1828,Ecatepec
1829,Dearborn Heights
1830,Doctor Phillips
1831,Forest Lake
1832,Kingsport
1833,La Verne
1834,Lagos De Moreno
1835,Las Choapas
1836,Lauderdale Lakes
1837,Leduc
1838,Sherrelwood
1839,Saint Louis Park
1840,San Marino
1841,Channelview
1842,Cherryland
1843,Clemmons
1844,Coacalco
1845,Crowley
1846,Cutlerville
1847,Seattle
1848,Sedalia
1849,Seymour
1850,Sharonville
1851,Shrewsbury
1852,Simi Valley
1853,Simpsonville
1854,Socastee
1855,Stockton
1856,Morristown
1857,Nealtican
1858,Nicholasville
1859,Langley Park
1860,Millbrook
1861,Milwaukie
1862,Mission Bend
1863,Panthersville
1864,Panuco
1865,Pewaukee
1866,Pullman
1867,North Valley
1868,Raynham
1869,Maynard
1870,Midland
1871,Minot
1872,Murray
1873,Nixa
1874,Noblesville
1875,Nuevo Laredo
1876,Ridgewood
1877,Peabody
1878,Westminster
1879,Wabash
1880,Wallaceburg
1881,Hanover Park
1882,Goodyear
1883,Lake Wales
1884,Lilburn
1885,Little Elm
1886,La Quinta
1887,Hammond
1888,Hamtramck
1889,Helena
1890,Huntington
1891,Kenora
1892,Kentville
1893,Albertville
1894,Aldama
1895,Ingersoll
1896,Greenfield
1897,Guttenberg
1898,Hawaiian Gardens
1899,Henderson
1900,Holladay
1901,Hope Mills
1902,Hopkinsville
1903,Compton
1904,Cranston
1905,Grand Terrace
1906,Franklin Lakes
1907,Fredonia
1908,Frontera
1909,Escanaba
1910,Evans
1911,Evansville
1912,Fair Lawn
1913,Fairland
1914,Flagstaff
1915,Rancho Santa Margarita
1916,Rutland
1917,San Juan De Las Huertas
1918,Ottumwa
1919,Parkersburg
1920,Pinole
1921,Pompano Beach
1922,North Charleston
1923,South Daytona
1924,South Euclid
1925,Joppatowne
1926,Hamilton
1927,Hays
1928,Hercules
1929,Lake Zurich
1930,Mexicali
1931,Miami Lakes
1932,Minden
1933,Mounds View
1934,Macuspana
1935,Marquette
1936,Matias Romero
1937,Mehlville
1938,Melville
1939,Yarmouth
1940,Zihuatanejo
1941,Tenafly
1942,Tenango De Arista
1943,Tenango De Rio Blanco
1944,Town And Country
1945,Owasso
1946,Quesnel
1947,Redmond
1948,Rockford
1949,West Jordan
1950,West Valley City
1951,Whitewater
1952,Patzcuaro
1953,Port Arthur
1954,Glen Ellyn
1955,Glens Falls
1956,Goshen
1957,Herrin
1958,Highland Park
1959,Ewing
1960,Fort Hunt
1961,Pinewood
1962,Atencingo
1963,Bellwood
1964,Bismarck
1965,Boone
1966,Borger
1967,Brookings
1968,Canby
1969,Cedar Grove
1970,Sarasota
1971,Saucillo
1972,Scotts Valley
1973,Shirley
1974,Acatlan
1975,Altotonga
1976,Anniston
1977,Arandas
1978,Sombrerete
1979,South Laurel
1980,South Portland
1981,South Yuba City
1982,Clawson
1983,Cleburne
1984,Cleveland Heights
1985,Tucker
1986,Acton
1987,Ann Arbor
1988,Ansonia
1989,Arlington
1990,Autopan
1991,Sunrise
1992,Sussex
1993,Ware
1994,Weslaco
1995,West Haven
1996,West Linn
1997,Worth
1998,Xalmimilulco
1999,Powder Springs
2000,Radford
2001,Lloydminster
2002,Mandeville
2003,Marana
2004,Shiloh
2005,Rockledge
2006,Goldsboro
2007,Green River
2008,Grosse Pointe Park
2009,Hasbrouck Heights
2010,Hattiesburg
2011,Hilton Head Island
2012,Hingham
2013,Kansas City
2014,Teolocholco
2015,Tilsonburg
2016,Tlaltizapan
2017,Tlaxco
2018,Trancoso
2019,South El Monte
2020,Stony Brook
2021,Doraville
2022,East Cleveland
2023,East Highland Park
2024,Darby
2025,Acatzingo
2026,Alexander City
2027,Anderson
2028,Apatlaco
2029,Atotonilco El Alto
2030,Baldwin Park
2031,Baltimore
2032,Barrington
2033,Baton Rouge
2034,Beloit
2035,Blythe
2036,Bonita Springs
2037,Bozeman
2038,Bucyrus
2039,Calhoun
2040,Carbondale
2041,Chiconcuac
2042,Cockeysville
2043,Coral Springs
2044,Costa Rica
2045,Cuautitlan
2046,Camp Springs
2047,Cananea
2048,Centennial
2049,Chilliwack
2050,Cuauhtemoc
2051,Dale City
2052,Coachella
2053,Colotlan
2054,Orange
2055,Oxford
2056,Tehuantepec
2057,Tequisquiapan
2058,Texmelucan
2059,Springfield
2060,Sunnyvale
2061,Valle De Bravo
2062,Saskatoon
2063,Sauk Village
2064,Mint Hill
2065,Mitchell
2066,Monterey
2067,North Haven
2068,Okotoks
2069,Olathe
2070,Pinecrest
2071,Neenah
2072,Marlton
2073,Martinsburg
2074,Medicine Hat
2075,Zacapu
2076,West Covina
2077,Westfield
2078,Willowick
2079,Watauga
2080,Alton
2081,Apaseo El Alto
2082,New Baltimore
2083,New Smyrna Beach
2084,Nicolas Romero
2085,Martha Lake
2086,Merrydale
2087,Ojus
2088,Moncton
2089,Gladstone
2090,Green
2091,Grosse Pointe Woods
2092,Brookfield
2093,Buckingham
2094,Carolina
2095,Las Vegas
2096,Lehi
2097,Davie
2098,Olney
2099,Palm Coast
2100,Actopan
2101,Adrian
2102,Birmingham
2103,Bloomsburg
2104,Bristol
2105,Coatzintla
2106,Frederick
2107,Holyoke
2108,Huatabampo
2109,Coos Bay
2110,Crestline
2111,Crestview
2112,Cross Lanes
2113,Fort Thomas
2114,Galveston
2115,Hudson
2116,Duluth
2117,East Renton Highlands
2118,Edmonton
2119,San Dimas
2120,Spokane
2121,New Glasgow
2122,Tifton
2123,Middle Valley
2124,Momoxpan
2125,Wanaque
2126,Waterville
2127,Trussville
2128,Tyler
2129,Tolland
2130,Laplace
2131,Leawood
2132,Lindsay
2133,Logan
2134,Manhattan Beach
2135,Manville
2136,Maple Shade
2137,Lacey
2138,Tecamachalco
2139,Thibodaux
2140,University Place
2141,Victor Rosales
2142,Sterling Heights
2143,Storrs
2144,Summerside
2145,Warrington
2146,Seaford
2147,Sioux Falls
2148,San Luis De La Paz
2149,Glasgow
2150,Hammonton
2151,Hanson
2152,Hershey
2153,Hialeah Gardens
2154,Hollywood
2155,Hopkins
2156,Jasmine Estates
2157,La Mesa
2158,Lansing
2159,Las Rosas
2160,Linda
2161,Lindenwold
2162,Little Chute
2163,Livonia
2164,Los Reyes
2165,Ludlow
2166,Marietta
2167,Mission Viejo
2168,Munhall
2169,New Cassel
2170,North Amityville
2171,North Canton
2172,Northbrook
2173,Fergus
2174,Foster City
2175,Decatur
2176,Dentsville
2177,East Ridge
2178,Elk Grove
2179,Bellefontaine
2180,Big Rapids
2181,Bogalusa
2182,Bossier City
2183,Brook Park
2184,Brooks
2185,Brunswick
2186,Capilla De Guadalupe
2187,Acushnet
2188,Agua Dulce
2189,Aguascalientes
2190,Altamonte Springs
2191,Coamo
2192,Riviera Beach
2193,Rolla
2194,Placentia
2195,Port Saint Lucie
2196,Pottsville
2197,Peto
2198,Bonita
2199,Abasolo
2200,Amos
2201,Arnold
2202,Bryant
2203,Buffalo Grove
2204,Cadillac
2205,Cedar Park
2206,Channahon
2207,Charcas
2208,Chesterfield
2209,Carson City
2210,Chilapa
2211,Anoka
2212,Arcadia
2213,West Hartford
2214,West Springfield
2215,Yakima
2216,Yaqui
2217,Barrie
2218,Whitchurch Stouffville
2219,Winnipeg
2220,Axochiapan
2221,Calvillo
2222,Cocoa Beach
2223,Crossville
2224,Prairie Village
2225,Green Bay
2226,Garner
2227,Howard
2228,Gustavo Diaz Ordaz
2229,La Cruz
2230,Faribault
2231,Foothill Farms
2232,Fort Carson
2233,Dzitbalche
2234,Eagle Pass
2235,Easley
2236,East Massapequa
2237,Elizabeth City
2238,Elizabeth
2239,Olympia Heights
2240,Opelousas
2241,Ottawa
2242,Owensboro
2243,Long Branch
2244,Mansfield
2245,Merrillville
2246,Oneida
2247,Overland
2248,North Providence
2249,Oak Harbor
2250,Moorpark
2251,Mountain Brook
2252,Newington
2253,Millburn
2254,Milwaukee
2255,Allen
2256,Baraboo
2257,Baytown
2258,Bellmawr
2259,Brookline
2260,Cherry Hill
2261,Ajoloapan
2262,Bartlett
2263,Bensenville
2264,Cape Girardeau
2265,Athens
2266,Atlacomulco
2267,Downey
2268,Drummondville
2269,East Haven
2270,Eastlake
2271,Eden Prairie
2272,Des Plaines
2273,Phoenixville
2274,Queretaro
2275,Renton
2276,Rafael Lara Grajales
2277,Saddle Brook
2278,Hanover
2279,Hazleton
2280,Fortuna
2281,Huixquilucan
2282,Commack
2283,Cosamaloapan
2284,Cullman
2285,Lake City
2286,Shafter
2287,Snyder
2288,San Gabriel Casa Blanca
2289,Sandwich
2290,Southgate
2291,Tavares
2292,Terre Haute
2293,Thornton
2294,Tonawanda
2295,Tooele
2296,Twinsburg
2297,Uman
2298,Westerly
2299,White Bear Lake
2300,White Center
2301,Wixom
2302,Visalia
2303,Ironton
2304,Iselin
2305,Juchitan
2306,Kaysville
2307,Kenosha
2308,Eastchester
2309,Elkridge
2310,Elyria
2311,New Braunfels
2312,New Orleans
2313,Santiago Tuxtla
2314,Scottsboro
2315,River Forest
2316,Salmon Arm
2317,Marshalltown
2318,Tewksbury
2319,Tiffin
2320,Shoreview
2321,North Highlands
2322,Ojinaga
2323,Pico Rivera
2324,Pikesville
2325,West Allis
2326,Wahiawa
2327,Leavenworth
2328,Los Gatos
2329,Lyndhurst
2330,Madera
2331,Magalia
2332,Makakilo City
2333,Mamaroneck
2334,Independence
2335,Inglewood
2336,Kihei
2337,Laconia
2338,Lake Forest
2339,Lake Saint Louis
2340,Libres
2341,San Leandro
2342,San Marcos
2343,San Martin De Las Piramides
2344,Revere
2345,Southaven
2346,Stony Point
2347,Grayslake
2348,Gastonia
2349,Germantown
2350,Hermitage
2351,Hesperia
2352,Hoover
2353,Huejutla
2354,Jalpa
2355,Juchitepec
2356,Dolbeau
2357,Dunn
2358,Forest Acres
2359,Kent
2360,Farmers Branch
2361,Keller
2362,Jericho
2363,Kamloops
2364,Republic
2365,Ruston
2366,De Pere
2367,Edgewater
2368,Maryland Heights
2369,Massapequa
2370,Maywood
2371,Meadville
2372,Montgomery Village
2373,Sunland Park
2374,Tacambaro
2375,North Ridgeville
2376,Nuevo San Juan Parangaricutiro
2377,Ocosingo
2378,Las Guacamayas
2379,Ledyard
2380,Peekskill
2381,Villahermosa
2382,Warren
2383,Wasco
2384,Wayne
2385,West Paterson
2386,Wheaton
2387,Yuma
2388,Zapotiltic
2389,Acuna
2390,Clovis
2391,Cueramaro
2392,Zapopan
2393,Avenal
2394,Bacalar
2395,Cumberland
2396,Bennington
2397,Brooklyn
2398,Burleson
2399,Burnsville
2400,Burton
2401,Cahokia
2402,Caguas
2403,Topsham
2404,Tukwila
2405,Valley Stream
2406,Van Buren
2407,Bostonia
2408,Sunset
2409,Brea
2410,Tacoma
2411,Takoma Park
2412,West Columbia
2413,Windsor
2414,Zumpango
2415,Cookeville
2416,Coppell
2417,Cupertino
2418,Washougal
2419,Waukegan
2420,Raleigh
2421,Miamisburg
2422,Milton
2423,Rio Bravo
2424,Rock Island
2425,Huimanguillo
2426,Huitzuco
2427,North Bay Shore
2428,North Decatur
2429,Anahuac
2430,Banning
2431,Bourbonnais
2432,Calabasas
2433,Colima
2434,Corcoran
2435,Guadalupe Victoria
2436,Haltom City
2437,Hannibal
2438,Holt
2439,Palatka
2440,Paracho
2441,San Luis Obispo
2442,Framingham
2443,Fredericton
2444,South Orange
2445,Stevens Point
2446,Riviere Du Loup
2447,Roseburg
2448,Aiken
2449,Somers
2450,Passaic
2451,Pembroke
2452,Pine Hill
2453,Piqua
2454,Port Charlotte
2455,Seabrook
2456,Sedona
2457,Smithfield
2458,Painesville
2459,Bayshore Gardens
2460,Bradford
2461,Cedar City
2462,Conneaut
2463,Corning
2464,Corozal
2465,Crown Point
2466,Cypress
2467,Aliso Viejo
2468,Asheville
2469,Berwyn
2470,Braintree
2471,Celaya
2472,Centreville
2473,Cleveland
2474,Affton
2475,Kirkland
2476,Layton
2477,Little Rock
2478,Nacozari
2479,Naperville
2480,Northfield
2481,Oaxaca
2482,Macon
2483,Kings Park
2484,Lenoir
2485,Libertyville
2486,Lubbock
2487,Lumberton
2488,Macedonia
2489,San Juan Del Rio
2490,Port Hope
2491,Granite City
2492,Greenbelt
2493,Hopatcong
2494,Horsham
2495,Jacksonville Beach
2496,Jupiter
2497,Kentwood
2498,Citrus Park
2499,Apple Valley
2500,Ario
2501,Euless
2502,Speedway
2503,State College
2504,Coram
2505,Council Bluffs
2506,Severn
2507,Shenandoah
2508,Lake Shore
2509,Laredo
2510,New Philadelphia
2511,North Berwick
2512,Oil City
2513,Escondido
2514,Ezequiel Montes
2515,Fair Oaks
2516,Fairview Shores
2517,Freeport
2518,Dallas
2519,East Chicago
2520,Rancho Cordova
2521,Richfield
2522,Ontario
2523,Pabellon De Arteaga
2524,Palestine
2525,Palm City
2526,Palmer
2527,Atlantic Beach
2528,Altepexi
2529,Sorel
2530,South Saint Paul
2531,Fergus Falls
2532,La Grange
2533,Pichucalco
2534,Tamazunchale
2535,Teapa
2536,Tekax
2537,Tinton Falls
2538,Tixkokob
2539,Tixtla
2540,Tlaquiltenango
2541,Wethersfield
2542,Xicohtzinco
2543,Fulton
2544,Los Alamos
2545,Moberly
2546,Morganton
2547,New London
2548,Hermiston
2549,High Point
2550,Saratoga
2551,Saugus
2552,Shaker Heights
2553,South Salt Lake
2554,Guymon
2555,Hawkesbury
2556,Homewood
2557,Hurst
2558,Connersville
2559,Covina
2560,Dolores Hidalgo
2561,East Peoria
2562,Eau Claire
2563,Edinburg
2564,El Centro
2565,El Grullo
2566,Tulancingo
2567,Tlapa
2568,Glassboro
2569,Grand Island
2570,West Carson
2571,West Lafayette
2572,White Oak
2573,Whitefish Bay
2574,Wilmington Island
2575,Windsor Locks
2576,Teoloyucan
2577,Prescott Valley
2578,Puerto Escondido
2579,Rancho San Diego
2580,Rosarito
2581,San Benito
2582,Sapulpa
2583,Park Forest
2584,Pflugerville
2585,Smyrna
2586,Solana Beach
2587,Swansea
2588,Sylvan Lake
2589,Syosset
2590,South Milwaukee
2591,Shakopee
2592,North Mankato
2593,Northport
2594,Nutley
2595,Navolato
2596,Morton Grove
2597,Mishawaka
2598,Indiana
2599,King Of Prussia
2600,Omaha
2601,Owatonna
2602,Dyer
2603,East Orange
2604,El Mirage
2605,Garfield
2606,Felipe Carrillo Puerto
2607,Fort Lauderdale
2608,Harwich
2609,Dawson Creek
2610,Delano
2611,Dumont
2612,East Providence
2613,Naples
2614,Naucalpan
2615,Norton Shores
2616,Oak Forest
2617,Sachse
2618,Saint Michael
2619,Salvatierra
2620,Reidsville
2621,Acala
2622,Ameca
2623,Arecibo
2624,Lawton
2625,Laguna Niguel
2626,East Longmeadow
2627,Marion
2628,Middleton
2629,Moultrie
2630,Yonkers
2631,Haddonfield
2632,Hemet
2633,Hidalgo
2634,Kilgore
2635,West Babylon
2636,West Puente Valley
2637,West Sacramento
2638,Warner Robins
2639,Wausau
2640,Findlay
2641,Cocoa
2642,Coffeyville
2643,Culver City
2644,Pooler
2645,Progreso
2646,Quebec
2647,Opelika
2648,Palmdale
2649,Peterborough
2650,Morris
2651,Muzquiz
2652,Nanuet
2653,Naugatuck
2654,North Miami Beach
2655,Ojo Caliente
2656,Temple
2657,Tesistan
2658,Tihuatlan
2659,Timmins
2660,Virginia Beach
2661,Wantagh
2662,Palm Harbor
2663,Richton Park
2664,Rockville
2665,Westbrook
2666,Wooster
2667,Pecan Grove
2668,Plantation
2669,Seminole
2670,Avon
2671,Barstow
2672,Bay City
2673,South Sioux City
2674,Spruce Grove
2675,Sumter
2676,Agua Prieta
2677,Vadnais Heights
2678,Duncan
2679,East Bridgewater
2680,Gomez Palacio
2681,Gulf Gate Estates
2682,Melbourne
2683,Missoula
2684,Lake Ronkonkoma
2685,Leisure City
2686,Louisville
2687,Kennett
2688,Irondequoit
2689,Issaquah
2690,Jenks
2691,Hanford
2692,La Canada Flintridge
2693,La Riviera
2694,Tuskegee
2695,Amarillo
2696,Anaheim
2697,Collingwood
2698,Columbine
2699,Alameda
2700,Beacon
2701,West Freehold
2702,Whitman
2703,Yorba Linda
2704,Tianguistenco
2705,Valle De Santiago
2706,Brewster
2707,Broadview Heights
2708,Grosse Ile
2709,Guthrie
2710,Hamden
2711,Horn Lake
2712,Elliot Lake
2713,Peoria
2714,Rancho Palos Verdes
2715,Raytown
2716,River Falls
2717,Saint Georges
2718,Tenosique
2719,Los Alamitos
2720,Madison
2721,Madisonville
2722,Manitowoc
2723,Mount Dora
2724,New Brunswick
2725,Oildale
2726,Justice
2727,New Brighton
2728,Newberry
2729,Easthampton
2730,Elk River
2731,Huauchinango
2732,Huntsville
2733,Palenque
2734,Paradise
2735,Pine Bluff
2736,Reno
2737,San Buenaventura
2738,San Salvador El Seco
2739,San Sebastian
2740,Sylacauga
2741,Statesboro
2742,Westmont
2743,Zachary
2744,Zacatecas
2745,Zacatelco
2746,Garza Garcia
2747,Greeley
2748,Brent
2749,Buffalo
2750,Franklin Square
2751,Citrus
2752,Comitan
2753,El Paso
2754,Eufaula
2755,Bettendorf
2756,San Miguel El Alto
2757,Santa Rosalia
2758,Cudahy
2759,Verona
2760,West Hempstead
2761,Whitehall
2762,Williston
2763,Wood Dale
2764,Wauwatosa
2765,Kearny
2766,Pinehurst
2767,Pittsburg
2768,Kingston
2769,Sartell
2770,Port Lavaca
2771,Pell City
2772,Lake Ridge
2773,Lakewood
2774,Lemay
2775,Lexington
2776,Claremont
2777,Coatepec
2778,Crawfordsville
2779,Cuilapam
2780,Bardstown
2781,Cartersville
2782,Carthage
2783,Bakersfield
2784,Berkeley Heights
2785,Billerica
2786,Butte
2787,Claremore
2788,Allouez
2789,Nashua
2790,Newton
2791,Norman
2792,Manassas
2793,Medford
2794,Melrose Park
2795,Mililani Town
2796,Millville
2797,Morgan City
2798,Little Ferry
2799,Rosedale
2800,Rutherford
2801,Ramos Arizpe
2802,Rogers
2803,Lake Mary
2804,Lakeland
2805,Montclair
2806,Muskegon Heights
2807,New Bern
2808,La Puente
2809,North Branch
2810,North Creek
2811,North Las Vegas
2812,Odenton
2813,San Fernando
2814,Shively
2815,Sidney
2816,Skokie
2817,Tamuin
2818,Tecate
2819,Normal
2820,North Royalton
2821,Oak Ridge
2822,Farragut
2823,Foxborough
2824,Franklin Park
2825,Gary
2826,Starkville
2827,Steger
2828,Suchiapa
2829,Teziutlan
2830,Tezoyuca
2831,Tlaxiaco
2832,Ukiah
2833,Veracruz
2834,Kapaa
2835,Grand Prairie
2836,Groveton
2837,Guerrero Negro
2838,Huamantla
2839,Huntington Beach
2840,Huron
2841,Galena Park
2842,Lawrence
2843,Leeds
2844,Lexington Fayette
2845,Youngstown
2846,Hillside
2847,Huixtla
2848,Humacao
2849,Memphis
2850,La Grande
2851,Caledonia
2852,Chesapeake
2853,Chowchilla
2854,Colonial Park
2855,Yeehaw Junction
2856,Chattanooga
2857,Compostela
2858,Carol Stream
2859,Brownsburg
2860,Richmond Heights
2861,Rio Linda
2862,Poplar Bluff
2863,Pacifica
2864,Greensburg
2865,Iowa City
2866,Pampa
2867,Orland Park
2868,Park Ridge
2869,Schenectady
2870,North Andover
2871,Ocala
2872,Okmulgee
2873,White Plains
2874,Windham
2875,Villa Rica
2876,Shorewood
2877,Slidell
2878,Secaucus
2879,Olivehurst
2880,Pahrump
2881,North Olmsted
2882,Point Pleasant
2883,Orillia
2884,Papantla
2885,River Grove
2886,New Berlin
2887,North Babylon
2888,North Branford
2889,Nuevo Mexico
2890,Sweetwater
2891,Mastic
2892,Miami Shores
2893,Lafayette
2894,Simcoe
2895,Hastings
2896,Drexel Heights
2897,Escarcega
2898,Fernley
2899,Florida Ridge
2900,Pine Hills
2901,Gainesville
2902,Wellesley
2903,Winfield
2904,Woodburn
2905,Ahualulco
2906,Arcelia
2907,Idylwood
2908,Clayton
2909,Cuautla
2910,Vincennes
2911,Williams Lake
2912,Wolcott
2913,Truro
2914,Vancouver
2915,Somersworth
2916,Chanhassen
2917,Charleston
2918,Aliquippa
2919,Puente De Ixtla
2920,Saint Peters
2921,Ridgefield
2922,Paterson
2923,Pennsauken
2924,North Richland Hills
2925,Oakley
2926,Dunmore
2927,Elmhurst
2928,Emmaus
2929,Fort Stewart
2930,Gallatin
2931,Englewood
2932,Erie
2933,Dania Beach
2934,Drexel Hill
2935,East Millcreek
2936,East Norriton
2937,East Palo Alto
2938,East Wenatchee Bench
2939,Taxco
2940,Tepeji
2941,Toronto
2942,Troutdale
2943,Tupelo
2944,South Hadley
2945,Streator
2946,University Park
2947,Valle Hermoso
2948,Mineral Del Monte
2949,Montgomery
2950,Hartselle
2951,Keene
2952,Lunenburg
2953,Melvindale
2954,Liberty
2955,North Platte
2956,Newburyport
2957,Niagara Falls
2958,Corona
2959,Prattville
2960,Christiansburg
2961,Cunduacan
2962,Algonquin
2963,Eunice
2964,Elfers
2965,Blue Island
2966,Bourne
2967,Ensley
2968,Mason
2969,Mesquite
2970,Moss Point
2971,West Chicago
2972,West Memphis
2973,Waco
2974,Huilango
2975,Huntersville
2976,Wildwood
2977,Willingboro
2978,Waynesboro
2979,Livermore
2980,Joplin
2981,Darien
2982,Dolton
2983,Kanata
2984,Kennebunk
2985,Farmington Hills
2986,Markham
2987,Prospect Heights
2988,Southbridge
2989,Oakland
2990,Temixco
2991,Tullahoma
2992,Tustin Foothills
2993,Escuinapa
2994,Evanston
2995,Holiday
2996,Apatzingan
2997,Atlautla
2998,Boynton Beach
2999,Broomall
3000,Central Islip
3001,Welby
3002,West Chester
3003,Zimapan
3004,Twin Falls
3005,University City
3006,Vestavia Hills
3007,Vicente Guerrero
3008,Vidalia
3009,Alvin
3010,Anenecuilco
3011,Talladega
3012,Tangancicuaro
3013,Murrieta
3014,North Lauderdale
3015,North Little Rock
3016,Northborough
3017,Tequixquiac
3018,Mendota Heights
3019,Tuscaloosa
3020,Twentynine Palms
3021,Clearwater
3022,Puruandiro
3023,Rancho Cucamonga
3024,Asheboro
3025,Bellmore
3026,Brecksville
3027,Apan
3028,Grande Prairie
3029,Great Bend
3030,Greenwood
3031,Kitimat
3032,Indio
3033,Jiquilpan
3034,Vernon Hills
3035,Castle Rock
3036,Central Falls
3037,Gaffney
3038,Cornelius
3039,Cabot
3040,Calverton
3041,Beeville
3042,Degollado
3043,Pendleton
3044,Pinotepa Nacional
3045,Pompton Lakes
3046,Port Washington
3047,Yauco
3048,Wadsworth
3049,Wakefield
3050,Lake Station
3051,Levittown
3052,Graham
3053,Guamuchil
3054,Hauterive
3055,Pearl River
3056,Oshkosh
3057,Palm Beach Gardens
3058,Cape Coral
3059,Chalco
3060,Avenel
3061,La Ceiba
3062,Schertz
3063,Eagle
3064,East Moline
3065,Effingham
3066,Nacogdoches
3067,Little Falls
3068,Irving
3069,Jalostotitlan
3070,Jefferson
3071,Wilbraham
3072,Wilsonville
3073,Saint Jerome
3074,Selden
3075,Pascagoula
3076,Penticton
3077,Tarrytown
3078,North Chicago
3079,Sugar Land
3080,Oneonta
3081,Paramus
3082,Port Alberni
3083,Reisterstown
3084,Sammamish
3085,Seatac
3086,Lowell
3087,Stephenville
3088,Vermillion
3089,Sunrise Manor
3090,San Juan Capistrano
3091,San Antonio De La Cal
3092,Trois Rivieres
3093,Westlake
3094,Xoxtla
3095,Waipahu
3096,Lindenhurst
3097,Lorain
3098,Lake Charles
3099,Leander
3100,Shawnee
3101,Portage
3102,Pueblo
3103,Solon
3104,South San Jose Hills
3105,Stillwater
3106,Swift Current
3107,Temple City
3108,Tizayuca
3109,Uvalde
3110,Ventnor City
3111,Mount Kisco
3112,Muskegon
3113,Martinez
3114,Matehuala
3115,North Plainfield
3116,North Wantagh
3117,Mercer Island
3118,Holtsville
3119,Irmo
3120,Jaral Del Progreso
3121,Haverhill
3122,Herndon
3123,Hickory
3124,Paraiso
3125,Periban
3126,Culiacan
3127,Bedford Heights
3128,Bemidji
3129,Calexico
3130,Saint Peter
3131,Reedley
3132,Bethpage
